_id,comentario,like,fecha,tipopublicacion,old-visualizaciones,visualizaciones,titulo
3457135547157565404,12,177,2024-09-14 19:45:53+00:00,2,0,5344,OOTD lleno de tendencias✨ #ootd #outfits #lookoftheday #outfitoftheday #outfitinspo #outfitinspiration #outfitideas
3454194984988930383,11,268,2024-09-10 18:20:02+00:00,2,0,12342,"Juntaron el hambre con las ganas de comer ✨🫂🤍 
#outfit #couple #outfitinspo #outfitinspiration #oufitstyle 
#ootd #outfitideas #outfitoftheday"
3438638373947960675,10,142,2024-08-20 07:15:01+00:00,2,0,7495,Outfit check 🤍✨ #ootd #outfitoftheday #outfit #looks #outfitideas #outfitinspo #lookoftheday
3419440524051927777,6,147,2024-07-24 19:30:34+00:00,2,0,9323,Haciendo match con el denim 🤝🏽🤍✨ #outfit #ootd #outfitoftheday #outfitinspo #outfitinspiration  #pullandbear #pullandbearcommunity
3394020468220636348,3,162,2024-06-19 18:02:19+00:00,2,0,10183,"Los mejores tips para la temporada de eventos con @dim_spain 💖 Las medias Teint Soleil son la mejor opción para llevar tus piernas con un tono de piel bronceado de forma súper natural. Además no llevan puntera, ideales para ponertelas con sandalias o zapato abierto. 
Como segundo tip, las braguitas moldeadoras para todo tipo de vestidos y prendas ajustadas que harán que te sientas más cómoda y sin preocupaciones. 
¡El mejor combo! ¿Sabías estos trucos? ✨🤸 

Publi 
#dim #ootd #medias #teintdesoleil #outfitsideas #outfitsinvitada #looksinvitada #tips 
#efectobronceado #eventos #invitadaperfecta
#invitadaideal #invitadaconestilo 
#summeroutfit"
3386859799708826775,30,304,2024-06-09 20:34:15+00:00,2,0,17846,"Siempre confío en @silvianavarrocollection para la época de eventos y ocasiones especiales ✨🧡 ¿Qué os parece esta maravilla que he elegido? me encanta el detalle de las flores en el pecho, la forma de sirena nunca la había escogido y creo que he acertado de lleno esta vez, enamorada 🤸🙌🏽

#silvianavarro #vestidosinvitada #vestidoslargos #vestidoseventos #outfitgraduation #invitada #invitadaboda"
3379418376583128042,110,1465,2024-05-30 14:12:02+00:00,2,0,71706,"LOOK THE ERAS TOUR No dormir para hacer el look con mis manos mereció la pena 🩷🥹✨ PROUD 

#theerastour #erastouroutfit #erastour #erastourtaylorswift #erastouroutfits #erastourmadrid"
3362141754545499388,29,211,2024-05-06 18:11:43+00:00,2,0,13873,"Spring outfits with @poloclub 🩷✨ ¿Cúal es tu favorito?
#thepoloclubcircle  #poloclubgifts #outfit #looks #ootd #outfitsideas #outfitinspo #outfitinspiration"
3346717609129275307,9,125,2024-04-15 11:19:51+00:00,2,0,5922,recap outfits Milano ✨💖 #outfit #ootd #outfits #outfitinspo #outfitinspiration #outfitstyle #outfitideas #look #milanfashion #milano
3343325688579038482,60,1013,2024-04-10 19:00:24+00:00,2,0,50529,"¿Como no voy a coger un tren de Madrid a Alicante si a parte de dejarme divina, me tratan como en casa? No hay mejores que ellos @fm_estilista , esta vez tocaba Keratin infusion de @goaorganics ❤️ 

#goa #goaorganics #hair #hairchocolate #keratin #keratininfusion #fmestilista #peluqueria"
